2023-08-05 17:45:51,156 [Worker-5: Loading available Gradle versions] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2023-08-05 17:49:18,746 [Worker-1: Building workspace] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.farm:myapp:1.0.0-BUILD-SNAPSHOT @ C:\eGovernment\eGovFrameDev-3.9.0-64bit\farmSpringSM\farmProject_Spring\pom.xml.
2023-08-05 17:49:18,746 [Worker-8: Updating Maven Dependencies] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.farm:myapp:1.0.0-BUILD-SNAPSHOT @ C:\eGovernment\eGovFrameDev-3.9.0-64bit\farmSpringSM\farmProject_Spring\pom.xml.
2023-08-05 17:49:19,762 [Worker-1: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2023-08-05 17:49:19,766 [Worker-1: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2023-08-05 17:49:19,773 [Worker-1: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2023-08-05 17:49:19,774 [Worker-1: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2023-08-05 17:49:22,257 [Worker-6: Updating Maven Dependencies] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.farm:myapp:1.0.0-BUILD-SNAPSHOT @ C:\eGovernment\eGovFrameDev-3.9.0-64bit\farmSpringSM\farmProject_Spring\pom.xml.
2023-08-05 17:49:23,469 [Worker-17: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2023-08-05 17:49:23,473 [Worker-17: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2023-08-05 17:49:23,481 [Worker-17: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
